tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
bbc,FASTJSON-50,com.alibaba.fastjson.parser.DefaultJSONParser,5,331,27040,45,0,0,0,0,947,0,0.0,570,0,0.0,0,0,0.0,0,0.0,0,30,0
bbc,SPOON-167,spoon.support.reflect.CtExtendedModifier,1,315,28627,1697,10,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
bbc,GUAVA-85,com.google.common.base.CaseFormat,3,316,30278,1771,19,0,6,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
bbc,GUAVA-85,com.google.common.base.CaseFormat,6,323,31338,1924,23,0,8,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0,0,30,2
bbc,SPOON-155,spoon.support.compiler.jdt.JDTSnippetCompiler,7,317,30119,139602,24,0,1,0,25,25,100.0,8,7,87.5,0,0,0.0,0,0.0,0,30,2
bbc,GUAVA-249,com.google.common.io.FileBackedOutputStream,9,314,29471,6111,26,0,0,0,50,50,100.0,16,16,100.0,30,30,100.0,30,100.0,0,30,2
bbc,FASTJSON-25,com.alibaba.fastjson.parser.deserializer.ResolveFieldDeserializer,2,342,31937,18130,12,0,0,0,43,37,86.04651,12,7,58.333332,8,4,50.0,4,50.0,4,30,2
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,7,332,33748,145838,20,0,3,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,3,306,33810,147409,24,0,2,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,SEATA-9,io.seata.core.rpc.netty.RpcServerHandler,9,322,28740,7591,10,0,0,0,27,20,74.07407,8,1,12.5,6,3,50.0,3,50.0,3,30,2
bbc,GUAVA-110,com.google.common.math.IntMath,5,319,29408,706,131,0,0,0,180,0,0.0,164,0,0.0,126,0,0.0,0,0.0,126,30,2
bbc,FASTJSON-26,com.alibaba.fastjson.parser.deserializer.MapDeserializer,4,346,32211,15765,13,0,1,0,198,18,9.090909,126,13,10.31746,138,16,11.594203,16,11.594203,122,30,2
bbc,SEATA-4,io.seata.core.protocol.MessageFuture,5,310,36389,692,5,0,0,0,22,0,0.0,10,0,0.0,13,0,0.0,0,0.0,13,30,2
bbc,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,2,310,29841,48164,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
bbc,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,7,332,33421,16576,106,0,2,0,391,302,77.237854,270,177,65.55556,164,116,70.731705,116,70.731705,48,30,2
bbc,SPOON-169,spoon.support.reflect.code.CtStatementListImpl,8,318,56421,207232,5,0,0,0,80,9,11.25,36,1,2.777778,50,5,10.0,5,10.0,45,30,2
bbc,FASTJSON-15,com.alibaba.fastjson.util.IOUtils,2,323,33345,17448,108,0,0,0,391,291,74.42455,270,166,61.481483,164,105,64.02439,105,64.02439,59,30,2
bbc,FASTJSON-59,com.alibaba.fastjson.asm.Type,8,343,31012,1821,74,0,1,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0,78,30,2
bbc,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,1,327,30570,1747,31,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
bbc,GUAVA-115,com.google.common.util.concurrent.SimpleTimeLimiter,7,328,45090,66670,19,0,0,0,110,44,40.0,26,11,42.307693,41,20,48.780487,20,48.780487,21,30,2
bbc,SPOON-19,spoon.reflect.visitor.filter.LineFilter,9,325,28852,8074,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
bbc,SPOON-19,spoon.reflect.visitor.filter.LineFilter,5,312,28927,8245,2,0,0,0,22,10,45.454548,16,5,31.25,16,6,37.5,6,37.5,10,30,2
bbc,SPOON-165,spoon.reflect.visitor.AstParentConsistencyChecker,9,308,29259,10029,7,0,0,0,15,15,100.0,8,7,87.5,6,6,100.0,6,100.0,0,30,2
bbc,SEATA-6,io.seata.core.rpc.RpcContext,6,318,29147,8847,45,0,3,0,85,77,90.588234,32,27,84.375,30,29,96.666664,29,96.666664,1,30,2
bbc,SPOON-103,spoon.support.reflect.code.CtAssignmentImpl,10,318,47479,22,2,1,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0,29,30,2
bbc,SPOON-13,spoon.support.reflect.code.CtForImpl,5,327,40105,11171,16,0,1,0,58,46,79.31035,26,18,69.230774,7,0,0.0,0,0.0,7,30,2
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,10,330,34047,147308,23,0,2,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,GUAVA-115,com.google.common.util.concurrent.SimpleTimeLimiter,8,313,48729,77409,13,0,0,0,110,39,35.454544,26,3,11.538462,41,12,29.268291,12,29.268291,29,30,2
bbc,GUAVA-153,com.google.common.collect.ReverseOrdering,3,324,31197,6452,2,0,0,0,21,5,23.809525,4,0,0.0,18,2,11.111112,2,11.111112,16,30,2
bbc,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,5,311,29306,8055,18,0,1,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
bbc,SPOON-159,spoon.reflect.visitor.ModelConsistencyChecker,10,319,29846,11508,14,0,3,0,26,26,100.0,22,21,95.454544,16,16,100.0,16,100.0,0,30,2
bbc,SPOON-13,spoon.support.reflect.code.CtForImpl,1,309,56437,210149,11,0,0,0,58,44,75.86207,26,15,57.692307,10,0,0.0,0,0.0,10,30,2
bbc,SPOON-13,spoon.support.reflect.code.CtForImpl,7,311,43262,211948,9,0,0,0,58,43,74.13793,26,15,57.692307,10,0,0.0,0,0.0,10,30,2
bbc,FASTJSON-72,com.alibaba.fastjson.serializer.AwtCodec,1,332,31411,17721,31,0,0,0,192,38,19.791668,106,16,15.094339,113,23,20.353981,23,20.353981,90,30,2
bbc,GUAVA-110,com.google.common.math.IntMath,2,325,29441,752,122,0,0,0,180,0,0.0,164,0,0.0,126,0,0.0,0,0.0,126,30,2
bbc,SEATA-15,io.seata.core.rpc.netty.RpcServer,4,318,33983,29944,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0,42,30,2
bbc,FASTJSON-49,com.alibaba.fastjson.serializer.ArraySerializer,10,362,30751,13735,5,0,0,0,28,6,21.428572,14,1,7.1428576,13,0,0.0,0,0.0,13,30,2
bbc,SEATA-6,io.seata.core.rpc.RpcContext,5,325,29072,8532,40,0,4,0,85,78,91.76471,32,28,87.5,30,29,96.666664,29,96.666664,1,30,2
bbc,SEATA-24,io.seata.core.protocol.transaction.BranchReportRequest,1,325,29269,8463,30,0,0,0,88,88,100.0,22,22,100.0,30,30,100.0,30,100.0,0,30,2
bbc,GUAVA-71,com.google.common.collect.SparseImmutableTable,10,305,29263,6618,2,0,0,0,63,22,34.920635,14,5,35.714287,16,7,43.75,7,43.75,9,30,2
bbc,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,10,330,36711,16562,36,0,0,0,1364,156,11.436951,398,26,6.5326633,404,34,8.415841,34,8.415841,370,30,2
bbc,GUAVA-115,com.google.common.util.concurrent.SimpleTimeLimiter,2,315,37130,30029,18,0,1,0,110,46,41.81818,26,13,50.0,41,24,58.536583,24,58.536583,17,30,2
bbc,SPOON-163,spoon.pattern.internal.node.MapEntryNode,3,336,29658,8747,24,0,0,0,38,30,78.94737,20,12,60.000004,6,0,0.0,0,0.0,6,30,2
bbc,FASTJSON-93,com.alibaba.fastjson.asm.ByteVector,7,333,30932,1724,29,0,0,0,73,0,0.0,24,0,0.0,73,0,0.0,0,0.0,73,30,2
bbc,GUAVA-197,com.google.common.primitives.Booleans,2,313,29047,2729,47,0,0,0,75,74,98.66667,52,51,98.07692,92,92,100.0,92,100.0,0,30,2
bbc,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,3,309,30988,8033,12,0,2,0,68,18,26.470589,24,4,16.666668,22,3,13.636364,3,13.636364,19,30,2
bbc,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,6,336,35435,21,12,1,0,0,26,0,0.0,20,0,0.0,26,0,0.0,0,0.0,26,30,2
bbc,SEATA-29,io.seata.core.rpc.DefaultServerMessageListenerImpl,6,322,45096,7481,5,0,1,0,68,20,29.411766,24,4,16.666668,22,3,13.636364,3,13.636364,19,30,2
bbc,FASTJSON-104,com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,7,343,34050,27370,39,0,0,0,82,70,85.36585,20,14,70.0,7,0,0.0,0,0.0,7,30,2
bbc,SPOON-11,spoon.reflect.factory.TypeFactory,3,313,38895,12617,45,0,5,0,217,166,76.497696,70,48,68.571434,24,0,0.0,0,0.0,24,30,2
bbc,FASTJSON-31,com.alibaba.fastjson.serializer.ASMSerializerFactory,4,330,37794,17099,38,0,0,0,1364,136,9.9706745,398,15,3.7688441,404,28,6.930693,28,6.930693,376,30,2
bbc,GUAVA-174,com.google.common.collect.TopKSelector,3,309,30552,6635,32,0,0,0,79,64,81.01266,36,25,69.44444,68,55,80.882355,55,80.882355,13,30,2
bbc,SPOON-151,spoon.support.compiler.jdt.JDTBatchCompiler,5,316,33578,145419,22,0,1,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438,25,30,2
bbc,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,8,335,31132,15647,4,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
bbc,SPOON-9,spoon.support.reflect.cu.position.SourcePositionImpl,2,316,29707,8307,71,0,8,0,78,77,98.71795,56,54,96.42857,93,92,98.92473,92,98.92473,1,30,2
bbc,FASTJSON-72,com.alibaba.fastjson.serializer.AwtCodec,7,320,31599,18213,29,0,0,0,192,38,19.791668,106,16,15.094339,113,23,20.353981,23,20.353981,90,30,2
bbc,SPOON-107,spoon.reflect.visitor.filter.CompositeFilter,3,322,32690,30,16,1,0,0,26,0,0.0,20,0,0.0,26,0,0.0,0,0.0,26,30,2
bbc,FASTJSON-72,com.alibaba.fastjson.serializer.AwtCodec,2,335,31501,17917,29,0,0,0,192,38,19.791668,106,16,15.094339,113,23,20.353981,23,20.353981,90,30,2
bbc,FASTJSON-19,com.alibaba.fastjson.parser.deserializer.DefaultFieldDeserializer,3,321,32067,25162,31,0,0,0,68,43,63.235294,44,28,63.636364,7,0,0.0,0,0.0,7,30,2
bbc,GUAVA-153,com.google.common.collect.ReverseOrdering,7,308,37549,3869,1,0,0,0,21,9,42.857143,4,0,0.0,11,0,0.0,0,0.0,11,30,2
bbc,FASTJSON-72,com.alibaba.fastjson.serializer.AwtCodec,5,353,31769,17642,27,0,0,0,192,38,19.791668,106,16,15.094339,113,23,20.353981,23,20.353981,90,30,2
bbc,FASTJSON-9,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,2,324,30703,14841,5,0,0,0,19,6,31.578945,18,2,11.111112,15,9,60.000004,9,60.000004,6,30,2
bbc,GUAVA-275,com.google.common.math.PairedStatsAccumulator,5,298,28801,4853,48,0,0,0,60,60,100.0,38,38,100.0,75,75,100.0,75,100.0,0,30,2
